date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:26:44	17480/17480	---M-Z	200	added ('OK')	text/html	date:Sat,%2007%20Apr%202018%2016:27:03%20GMT	http://ppdb.santa-angela.sch.id/	D:/a/a/ppdb.santa-angela.sch.id/index.html	(from )
23:26:44	233/233	---M-Z	404	error ('Not%20Found')	text/html	date:Sat,%2007%20Apr%202018%2016:27:04%20GMT	http://ppdb.santa-angela.sch.id/robots.txt		(from )
23:26:44	13893/13893	---M-Z	200	added ('OK')	text/css	etag:%22587eaa-3645-5562165df1fe7%22	http://ppdb.santa-angela.sch.id/css/freelancer.css	D:/a/a/ppdb.santa-angela.sch.id/css/freelancer.css	(from http://ppdb.santa-angela.sch.id/)
23:26:45	29063/29063	---M-Z	200	added ('OK')	text/css	etag:%22dc3b83-7187-556217ce61547%22	http://ppdb.santa-angela.sch.id/vendor/font-awesome/css/font-awesome.min.css	D:/a/a/ppdb.santa-angela.sch.id/vendor/font-awesome/css/font-awesome.min.css	(from http://ppdb.santa-angela.sch.id/)
23:26:45	63171/63171	---M-Z	200	added ('OK')	text/html	date:Sat,%2007%20Apr%202018%2016:27:05%20GMT	http://ppdb.santa-angela.sch.id/register.php?unit=S0I=&code=cHBkYnBn	D:/a/a/ppdb.santa-angela.sch.id/registerb77f.html	(from http://ppdb.santa-angela.sch.id/)
23:26:46	32978/32978	---M--	200	added ('OK')	image/png	etag:%227083d2-80d2-556216665b11f%22	http://ppdb.santa-angela.sch.id/img/logo1.png	D:/a/a/ppdb.santa-angela.sch.id/img/logo1.png	(from http://ppdb.santa-angela.sch.id/)
23:26:47	63163/63163	---M-Z	200	added ('OK')	text/html	date:Sat,%2007%20Apr%202018%2016:27:07%20GMT	http://ppdb.santa-angela.sch.id/register.php?unit=VEs=&code=cHBkYnRr	D:/a/a/ppdb.santa-angela.sch.id/register0e04.html	(from http://ppdb.santa-angela.sch.id/)
23:26:47	63140/63140	---M-Z	200	added ('OK')	text/html	date:Sat,%2007%20Apr%202018%2016:27:07%20GMT	http://ppdb.santa-angela.sch.id/register.php?unit=U0Q=&code=cHBkYnNk	D:/a/a/ppdb.santa-angela.sch.id/registerb57a.html	(from http://ppdb.santa-angela.sch.id/)
23:26:47	83590/83590	---M-Z	200	added ('OK')	text/html	date:Sat,%2007%20Apr%202018%2016:27:07%20GMT	http://ppdb.santa-angela.sch.id/register.php?unit=U01Q&code=cHBkYnNtcA==	D:/a/a/ppdb.santa-angela.sch.id/register5dfc.html	(from http://ppdb.santa-angela.sch.id/)
23:26:48	85573/85573	---M-Z	200	added ('OK')	text/html	date:Sat,%2007%20Apr%202018%2016:27:08%20GMT	http://ppdb.santa-angela.sch.id/register.php?unit=U01B&code=cHBkYnNtYQ==	D:/a/a/ppdb.santa-angela.sch.id/registerb398.html	(from http://ppdb.santa-angela.sch.id/)
23:26:49	20527/20527	---M-Z	200	added ('OK')	text/html	date:Sat,%2007%20Apr%202018%2016:27:09%20GMT	http://ppdb.santa-angela.sch.id/?lpage=bG9naW5zaXN3YQ==	D:/a/a/ppdb.santa-angela.sch.id/indexc8da.html	(from http://ppdb.santa-angela.sch.id/)
23:26:49	24013/24013	---M--	200	added ('OK')	image/jpeg	etag:%227083d5-5dcd-5562167004757%22	http://ppdb.santa-angela.sch.id/img/sd.jpg	D:/a/a/ppdb.santa-angela.sch.id/img/sd.jpg	(from http://ppdb.santa-angela.sch.id/)
23:26:51	25562/25562	---M--	200	added ('OK')	image/jpeg	etag:%227083d6-63da-55621670183bf%22	http://ppdb.santa-angela.sch.id/img/smp.jpg	D:/a/a/ppdb.santa-angela.sch.id/img/smp.jpg	(from http://ppdb.santa-angela.sch.id/)
23:26:52	5555/5555	---MCZ	200	added ('OK')	application/javascript	etag:W/%225a962d0b-15b3%22	http://cdnjs.cloudflare.com/ajax/libs/jquery-easing/1.3/jquery.easing.min.js	D:/a/a/cdnjs.cloudflare.com/ajax/libs/jquery-easing/1.3/jquery.easing.min.js	(from http://ppdb.santa-angela.sch.id/)
23:26:53	37045/37045	---M-Z	200	added ('OK')	application/javascript	etag:%22747301-90b5-556217c11cd87%22	http://ppdb.santa-angela.sch.id/vendor/bootstrap/js/bootstrap.min.js	D:/a/a/ppdb.santa-angela.sch.id/vendor/bootstrap/js/bootstrap.min.js	(from http://ppdb.santa-angela.sch.id/)
23:26:53	36180/36180	---M-Z	200	added ('OK')	application/javascript	etag:%227472e8-8d54-55621670b8257%22	http://ppdb.santa-angela.sch.id/js/jqBootstrapValidation.js	D:/a/a/ppdb.santa-angela.sch.id/js/jqBootstrapValidation.js	(from http://ppdb.santa-angela.sch.id/)
23:26:53	3056/3056	---M-Z	200	added ('OK')	application/javascript	etag:%227472e3-bf0-5562167044aaf%22	http://ppdb.santa-angela.sch.id/js/contact_me.js	D:/a/a/ppdb.santa-angela.sch.id/js/contact_me.js	(from http://ppdb.santa-angela.sch.id/)
23:26:54	1058/1058	---M-Z	200	added ('OK')	application/javascript	etag:%227472e6-422-556216706a057%22	http://ppdb.santa-angela.sch.id/js/freelancer.min.js	D:/a/a/ppdb.santa-angela.sch.id/js/freelancer.min.js	(from http://ppdb.santa-angela.sch.id/)
23:26:54	121200/121200	---M-Z	200	added ('OK')	text/css	etag:%226e6be9-1d970-556217c0dd9cf%22	http://ppdb.santa-angela.sch.id/vendor/bootstrap/css/bootstrap.min.css	D:/a/a/ppdb.santa-angela.sch.id/vendor/bootstrap/css/bootstrap.min.css	(from http://ppdb.santa-angela.sch.id/)
23:26:55	33257/33257	---M-Z	200	added ('OK')	text/css	etag:%22587ea7-81e9-5562165dc39b7%22	http://ppdb.santa-angela.sch.id/css/faa.css	D:/a/a/ppdb.santa-angela.sch.id/css/faa.css	(from http://ppdb.santa-angela.sch.id/)
23:26:55	97163/97163	---M-Z	200	added ('OK')	application/javascript	etag:%22dc3bab-17b8b-556217d06c85f%22	http://ppdb.santa-angela.sch.id/vendor/jquery/jquery.min.js	D:/a/a/ppdb.santa-angela.sch.id/vendor/jquery/jquery.min.js	(from http://ppdb.santa-angela.sch.id/)
